year,NI
1970,36214.00668
1971,37777.93467
1972,40357.2944
1973,42680.75718
1974,44040.78322
1975,44312.99233
1976,45178.55612
1977,47985.26653
1978,50851.10851
1979,53004.31315
1980,54314.38321
1981,54836.37221
1982,54095.18861
1983,53239.81991
1984,54504.01203
1985,55355.30269
1986,55281.89798
1987,56706.15314
1988,57594.14615
1989,61358.17624
1990,65958.20434
1991,66741.18784
1992,67890.17536
1993,69756.89776
1994,74445.62321
1995,80109
1996,87839
1997,95244
1998,102061
1999,109831
2000,119880
2001,122321
2002,124738
2003,129375
2004,134655
2005,142251
2006,151070
2007,155846
2008,152473
2009,138908
2010,140913
2011,139917
2012,142619
2013,147126
